"ticker","price","% Held by Insiders 1","% Held by Institutions 1","200-Day Moving Average 3","50-Day Moving Average 3","52 Week High 3","52 Week Low 3","52-Week Change 3","Avg Vol (10 day) 3","Avg Vol (3 month) 3","Beta (3Y Monthly) ","Book Value Per Share (mrq)","Current Ratio (mrq)","Diluted EPS (ttm)","EBITDA ","Enterprise Value 3","Enterprise Value/EBITDA 6","Enterprise Value/Revenue 3","Float ","Forward P/E 1","Gross Profit (ttm)","Levered Free Cash Flow (ttm)","Market Cap (intraday) 5","Net Income Avi to Common (ttm)","Operating Cash Flow (ttm)","Operating Margin (ttm)","Payout Ratio 4","PEG Ratio (5 yr expected) 1","Price/Book (mrq)","Price/Sales (ttm)","Profit Margin ","Quarterly Revenue Growth (yoy)","Return on Assets (ttm)","Return on Equity (ttm)","Revenue (ttm)","Revenue Per Share (ttm)","S&P500 52-Week Change 3","Shares Outstanding 5","Shares Short (Mar 15, 2019) 4","Shares Short (prior month Feb 15, 2019) 4","Short % of Shares Outstanding (Mar 15, 2019) 4","Short Ratio (Mar 15, 2019) 4","Total Cash (mrq)","Total Cash Per Share (mrq)","Total Debt (mrq)","Total Debt/Equity (mrq)","Trailing P/E "
"ROST","97.37","0.021","0.9599","91.68","93.41","104.35","75.91","0.2583","1770000","2230000","0.80","8.98","1.69","4.26","2.37e+09","3.476e+10","14.66","2.32","360150000","19.59","4.83e+09","1.31e+09","3.586e+10","1.59e+09","2.07e+09","0.1362","0.2113","2.18","10.85","2.39","0.106","0.01","0.2163","0.4996","1.498e+10","40.55","0.0786","368250000","5390000","4620000","0.0145","2.02","1.41e+09","3.84","312440000","9.45","22.86"
"RCL","121.94","0.1852","0.732","112.30","116.86","133.60","89.48","0.0279","1340000","1480000","1.93","53.13","0.17","8.56","2.97e+09","3.595e+10","12.10","3.79","175520000","10.95","4.23e+09","-678890000","2.551e+10","1.81e+09","3.48e+09","0.2041","0.3037","0.96","2.30","2.69","0.1908","0.164","0.0484","0.1625","9.49e+09","45.09","0.0786","209190000","2030000","2430000","0.0097","1.71","287850000","1.38","1.082e+10","92.88","14.25"
"SLB","45.65","0.0012","0.8019","46.55","43.90","75.43","34.99","-0.3387","7850000","9690000","1.69","26.15","1.17","1.53","6.75e+09","7.861e+10","11.65","2.39","1.38e+09","20.20","4.34e+09","2.32e+09","6.327e+10","2.14e+09","5.71e+09","0.0972","1.3072","1.34","1.75","1.93","0.0652","0","0.028","0.059","3.281e+10","23.69","0.0786","1.39e+09","20090000","20150000","0.0145","2.33","2.78e+09","2.01","1.783e+10","48.73","29.84"
"STX","49.67","0.5634","0","43.74","47.67","62.70","35.38","-0.191","2330000","3460000","1.98","6.83","1.60","5.75","2.46e+09","1.696e+10","6.90","1.50","250570000","10.57","3.37e+09","1.01e+09","1.387e+10","1.68e+09","1.9e+09","0.1681","0.4375","1.92","7.27","1.22","0.1477","-0.068","0.1359","1.1192","1.134e+10","39.60","0.0786","279250000","18880000","20430000","0.0676","6.02","1.36e+09","4.82","4.32e+09","223.58","8.63"
"SRE","129.85","0.0015","0.9942","116.67","124.45","129.93","100.49","0.1459","1680000","1630000","0.38","54.35","0.49","3.42","3.93e+09","6.483e+10","16.51","5.55","273620000","18.29","4.09e+09","-1.5e+09","3.56e+10","1.05e+09","3.45e+09","0.2035","1.0468","2.70","2.39","3.05","0.0898","0.087","0.0268","0.0654","1.169e+10","43.60","0.0786","274180000","21160000","20900000","0.0772","14.85","1.92e+08","0.7","2.555e+10","132.74","37.97"
"SHW","441.53","0.1073","0.7898","414.30","432.58","479.64","355.28","0.1427","434040","666650","1.23","40.28","1.01","11.67","2.5e+09","5.05e+10","20.22","2.88","82870000","18.22","7.42e+09","1.83e+09","4.07e+10","1.11e+09","1.94e+09","0.1084","0.2948","1.39","10.96","2.32","0.0632","0.021","0.0609","0.3005","1.753e+10","188.56","0.0786","92190000","1190000","1510000","0.0128","1.92","155500000","1.68","9.34e+09","250.45","37.83"
"SPG","185.52","0.005","0.9875","178.68","179.77","191.49","145.78","0.2097","744300","1390000","0.60","10.53","0.42","7.87","4.2e+09","8.123e+10","19.33","14.40","291200000","24.60","4.59e+09","2.17e+09","6.6e+10","2.44e+09","3.75e+09","0.5157","1.0038","2.99","17.62","11.70","0.4326","0.023","0.0578","0.6675","5.64e+09","18.22","0.0786","308990000","8510000","8860000","0.0275","5.36","514340000","1.66","2.331e+10","578.72","23.57"
"SLG","90.49","0.004","1.0056","90.70","90.67","106.54","76.77","-0.0597","437080","518470","1.39","67.87","3.08","2.67","689510000","1.43e+10","20.74","11.61","84050000","58.38","786040000","765290000","8e+09","231760000","441540000","0.3385","1.2313","-5.55","1.33","6.50","0.21","-0.163","0.0195","0.0387","1.23e+09","14.20","0.0786","84330000","2520000","2360000","0.0298","5.14","148150000","1.76","5.59e+09","84.28","33.88"
"SNA","155.97","0.0123","1.0138","159.01","157.80","189.46","135.29","0.0558","573570","641330","1.40","55.72","2.33","11.87","1.04e+09","9.66e+09","9.33","2.37","54940000","11.96","2.1e+09","299850000","8.67e+09","679900000","764500000","0.2347","0.2873","1.55","2.80","2.13","0.167","-0.018","0.1124","0.2286","4.07e+09","72.30","0.0786","55620000","8820000","8060000","0.1587","15.3","140500000","2.53","1.15e+09","36.79","13.14"
"LUV","53.13","0.0029","0.8193","53.14","51.99","64.02","44.28","-0.0344","3660000","5480000","1.81","17.83","0.64","4.29","4.21e+09","2.899e+10","6.88","1.32","495610000","10.04","7.08e+09","2.18e+09","2.904e+10","2.46e+09","4.89e+09","0.1442","0.141","0.94","2.98","1.32","0.1122","0.085","0.0771","0.2529","2.197e+10","38.33","0.0786","546650000","9660000","9320000","0.0175","1.89","3.69e+09","6.68","3.39e+09","34.42","12.38"
"SPGI","214.93","0.0033","0.8647","188.60","205.72","217.31","156.68","0.112","860010","1290000","0.96","2.53","1.37","7.73","3.17e+09","5.639e+10","17.81","9.01","248240000","21.45","3.05e+09","1.63e+09","5.289e+10","1.96e+09","2.06e+09","0.4731","0.2587","2.52","85.02","8.45","0.3129","-0.032","0.196","0.9593","6.26e+09","24.94","0.0786","246080000","4320000","5010000","0.0176","3.87","1.94e+09","7.78","3.66e+09","158.94","27.80"
"SWK","146.17","0.0026","0.8962","129.10","135.89","158.47","106.41","-0.0572","1070000","1350000","1.31","46.83","1.14","3.99","2.2e+09","2.652e+10","12.06","1.90","140190000","15.60","4.92e+09","886010000","2.212e+10","605200000","1.26e+09","0.121","0.6466","2.03","3.12","1.58","0.0433","0.049","0.0549","0.0751","1.398e+10","93.89","0.0786","151360000","3740000","4590000","0.0247","3.11","288700000","1.91","4.2e+09","53.55","36.63"
"SYK","192.67","0.0792","0.7613","175.13","192.95","199.85","144.75","0.2053","876100","1320000","1.04","31.33","2.03","9.34","3.82e+09","7.796e+10","20.42","5.73","327340000","21.58","8.98e+09","1.79e+09","7.189e+10","3.55e+09","2.61e+09","0.2275","0.2066","2.28","6.15","5.29","0.2612","0.094","0.0782","0.3273","1.36e+10","36.36","0.0786","373100000","4760000","4850000","0.0128","3.95","3.7e+09","9.93","9.86e+09","84.05","20.63"
"SNPS","118.19","0.0068","0.9277","95.66","110.10","119.23","79.14","0.3939","1040000","1170000","1.35","25.31","0.89","3.83","557370000","1.765e+10","31.66","5.56","148660000","24.47","2.47e+09","148220000","1.769e+10","589720000","339270000","0.1327","0","2.75","4.67","5.58","0.1859","0.066","0.0436","0.1703","3.17e+09","21.29","0.0786","149680000","2360000","2180000","0.0159","1.89","592310000","3.96","541870000","14.32","30.90"
"SYY","69.01","0.0021","0.8171","66.48","66.66","75.98","59.44","0.112","2200000","3090000","0.73","4.22","1.25","2.80","3.32e+09","4.311e+10","12.99","0.72","512330000","18.21","1.109e+10","1.71e+09","3.543e+10","1.48e+09","2.14e+09","0.0427","0.525","2.02","16.35","0.59","0.0248","0.025","0.0875","0.6559","5.965e+10","114.60","0.0786","513460000","12070000","12210000","0.0235","4.4","744810000","1.45","8.84e+09","401.43","24.64"
"TPR","32.57","0.0017","0.9299","37.67","33.52","55.50","30.69","-0.3815","3400000","4110000","1.02","12.03","2.62","2.50","1.16e+09","9.65e+09","8.30","1.61","289340000","11.39","3.89e+09","617860000","9.44e+09","729100000","1.16e+09","0.1506","0.5378","2.23","2.71","1.58","0.1218","0.009","0.0772","0.2265","5.99e+09","20.78","0.0786","289980000","5410000","5660000","0.0186","1.51","1.5e+09","5.16","1.6e+09","45.92","13.02"
"TGT","80.73","0.0016","0.8583","75.70","77.72","90.39","60.15","0.1174","3790000","4760000","1.05","21.82","0.83","5.51","6.7e+09","5.343e+10","7.97","0.71","515360000","12.98","2.206e+10","1.55e+09","4.168e+10","2.93e+09","5.97e+09","0.0561","0.4582","1.41","3.70","0.55","0.039","0","0.0648","0.2554","7.536e+10","142.56","0.0786","516330000","28630000","24500000","0.0554","4.95","1.56e+09","3.01","1.345e+10","119.04","14.64"
"TEL","87.95","0.6853","0","79.53","83.43","102.65","69.84","-0.1277","1020000","1630000","0.98","30.16","1.55","8.20","3.1e+09","3.333e+10","10.76","2.38","338020000","14.59","4.75e+09","1.4e+09","2.975e+10","3e+09","2.4e+09","0.1733","0.2019","1.54","2.92","2.13","0.2058","0.003","0.0798","0.302","1.4e+10","40.28","0.0786","338260000","3920000","3490000","0.0116","2.79","5.05e+08","1.49","4.03e+09","39.38","10.72"
"TFX","305.13","0.0025","0.9524","268.47","298.26","309.99","226.02","0.1627","145880","469410","1.24","55.20","2.12","4.29","666600000","1.584e+10","23.76","6.47","45880000","23.93","1.4e+09","395170000","1.406e+10","196430000","437380000","0.1993","0.3238","2.00","5.53","5.74","0.082","0.078","0.049","0.079","2.45e+09","53.59","0.0786","46070000","1050000","1130000","0.0228","4.04","371890000","8.08","2.17e+09","85.30","71.08"
"TXN","116.76","0.0029","0.8804","101.25","109.12","118.48","87.70","0.11","3960000","5510000","1.12","9.52","3.27","5.59","7.53e+09","1.1041e+11","14.66","6.99","936220000","20.24","1.028e+10","4.48e+09","1.0959e+11","5.54e+09","7.19e+09","0.4197","0.4705","2.78","12.27","6.94","0.3535","-0.009","0.2381","0.5773","1.578e+10","16.27","0.0786","938620000","19150000","17960000","0.0204","4.1","4.23e+09","4.51","5.07e+09","56.35","20.87"
"TXT","51.64","0.0026","0.8479","54.11","51.86","72.87","43.27","-0.1457","1380000","1710000","1.79","22.03","2.04","4.83","1.58e+09","1.471e+10","9.28","1.05","233730000","12.66","2.35e+09","948120000","1.208e+10","1.22e+09","1.11e+09","0.0822","0.0166","0.98","2.34","0.86","0.0875","-0.066","0.0485","0.2255","1.397e+10","55.84","0.0786","233850000","8290000","8240000","0.0355","5.37","9.87e+08","4.21","3.78e+09","72.88","10.69"
"TMO","280.65","0.0019","0.9067","244.35","265.93","282.98","202.83","0.2992","1100000","1480000","1.30","68.60","1.73","7.24","6.16e+09","1.29e+11","20.95","5.30","398160000","20.77","1.087e+10","3.23e+09","1.1198e+11","2.94e+09","4.54e+09","0.1597","0.0939","2.13","4.09","4.60","0.1206","0.076","0.0431","0.1109","2.436e+10","60.59","0.0786","3.99e+08","2820000","3280000","0.0071","1.88","2.1e+09","5.27","1.912e+10","69.31","38.76"
"TIF","106.18","0.0095","0.9878","98.33","100.26","141.64","73.04","0.0624","1530000","1750000","1.28","25.66","5.24","4.75","1e+09","1.303e+10","12.98","2.93","101490000","19.63","2.81e+09","229280000","1.29e+10","586400000","531800000","0.1746","0.4526","2.39","4.14","2.90","0.132","-0.01","0.0898","0.1839","4.44e+09","36.14","0.0786","121450000","7720000","7400000","0.0635","5.32","855300000","7.04","996800000","31.84","22.35"
"TWTR","34.37","0.0386","0.7059","31.69","32.33","47.79","26.19","0.2099","12010000","17450000","-0.17","8.93","4.69","1.56","771320000","2.279e+10","29.55","7.49","735800000","33.70","2.08e+09","646640000","2.628e+10","1.21e+09","1.34e+09","0.1504","0","0.92","3.85","8.64","0.3963","0.242","0.0325","0.2034","3.04e+09","4.03","0.0786","764590000","22620000","29180000","0.0295","1.51","6.21e+09","8.12","2.72e+09","39.98","22.03"
"TJX","53.97","6e-04","0.9342","50.58","52.47","56.64","40.65","0.3026","5070000","6110000","0.86","4.15","1.53","2.43","5.04e+09","6.49e+10","12.88","1.66","1.21e+09","18.94","1.114e+10","2.58e+09","6.555e+10","3.06e+09","4.09e+09","0.1082","0.305","2.19","13.01","1.68","0.0785","0.015","0.1858","0.6001","3.897e+10","31.40","0.0786","1.21e+09","13160000","12050000","0.0107","1.82","3.03e+09","2.49","2.48e+09","49.06","22.21"
"TMK","86.84","0.0184","0.7878","82.73","83.01","89.62","69.68","0.0042","404080","501740","1.10","48.92","1.18","6.09","966750000","1.105e+10","11.43","2.57","101470000","12.32","1.23e+09","1.11e+09","9.58e+09","701510000","1.28e+09","0.2216","0.1051","1.73","1.78","2.23","0.163","0.007","0.0256","0.1205","4.3e+09","38.13","0.0786","110310000","3990000","3900000","0.0361","7.98","184310000","1.67","1.67e+09","30.75","14.26"
"TSS","99.22","0.0164","0.8269","90.23","94.74","100.39","75.58","0.1356","1180000","1440000","1.00","14.32","2.21","3.14","1.12e+09","2.085e+10","18.57","5.18","174320000","17.91","1.54e+09","669760000","1.76e+10","576660000","1.04e+09","0.2083","0.1656","1.59","6.93","4.37","0.1432","-0.2","0.076","0.2339","4.03e+09","22.14","0.0786","177400000","2380000","2310000","0.0134","1.9","471160000","2.66","3.92e+09","151.54","31.60"
"TSCO","104.25","0.0058","0.8625","91.07","95.12","104.74","58.50","0.7224","1210000","1420000","1.22","12.82","1.91","4.31","879090000","1.262e+10","14.36","1.60","120610000","19.97","2.7e+09","282220000","1.263e+10","532360000","694390000","0.0887","0.2784","1.95","8.13","1.60","0.0673","0.092","0.1473","0.3572","7.91e+09","64.50","0.0786","121110000","2690000","2830000","0.0222","2.25","88900000","0.73","440270000","28.19","24.19"
"TRV","137.72","0.0048","0.82","127.34","134.34","138.99","111.08","-0.0092","1130000","1400000","0.97","86.85","0.39","9.28","4.12e+09","3.859e+10","9.38","1.27","256460000","11.68","7.61e+09","1.07e+10","3.607e+10","2.5e+09","4.38e+09","0.1094","0.3265","0.76","1.59","1.19","0.0833","0.046","0.0199","0.1082","3.028e+10","113.25","0.0786","261900000","3670000","3100000","0.0139","2.62","4.36e+09","16.55","6.56e+09","28.67","14.84"
"TRIP","52.59","0.151","1.0158","54.93","52.15","69.00","36.75","0.3097","1260000","2020000","0.13","10.67","2.33","0.81","2.37e+08","6.68e+09","28.17","4.14","106510000","23.80","1.53e+09","3.51e+08","7.26e+09","1.13e+08","4.05e+08","0.1164","0","2.41","4.93","4.50","0.07","0.078","0.0529","0.0797","1.62e+09","11.69","0.0786","125340000","15120000","16350000","0.1095","6.54","6.7e+08","4.85","8.3e+07","5.64","64.93"
"TSN","70.84","0.0253","0.9029","61.00","66.28","72.42","49.77","-0.0017","2050000","2760000","0.59","35.94","0.85","5.27","4.03e+09","3.772e+10","9.35","0.94","290160000","11.30","5.23e+09","1.65e+09","2.588e+10","1.94e+09","2.7e+09","0.0769","0.241","3.64","1.97","0.65","0.0486","-0.004","0.0637","0.1543","4.002e+10","109.78","0.0786","295260000","5710000","4660000","0.0156","1.86","4.01e+08","1.1","1.199e+10","90.44","13.44"
"UDR","45.8","0.0123","0.9879","42.11","45.05","45.84","34.48","0.2711","1160000","1470000","0.69","10.38","0.63","0.74","651270000","1.711e+10","26.27","16.42","272260000","101.78","715400000","456100000","1.392e+10","199240000","560680000","0.2069","5.461","-3.69","4.41","13.36","0.195","0.063","0.0174","0.0577","1.04e+09","3.88","0.0786","281180000","6760000","7360000","0.0245","4.07","189970000","0.69","3.55e+09","91.08","61.89"
"UNP","169.5","0.0033","0.8134","155.67","166.16","172.44","126.37","0.2159","2800000","3920000","1.27","28.17","0.90","7.91","1.075e+10","1.4359e+11","13.36","6.29","722120000","16.52","1.176e+10","3.49e+09","1.2253e+11","5.97e+09","8.69e+09","0.3747","0.3869","1.29","6.02","5.37","0.2613","0.056","0.0914","0.2635","2.283e+10","30.41","0.0786","722880000","12010000","7910000","0.0169","3.21","1.33e+09","1.84","2.239e+10","109.64","21.43"
"UAL","85.49","0.0035","1.0242","86.14","82.97","97.85","65.45","0.274","2750000","3260000","1.15","37.03","0.55","7.70","5.9e+09","3.365e+10","5.71","0.81","228180000","7.05","1.338e+10","9.68e+08","2.28e+10","2.13e+09","6.18e+09","0.0915","0","0.57","2.31","0.55","0.0515","0.11","0.0542","0.2274","4.13e+10","149.92","0.0786","266730000","16430000","18890000","0.0616","5.11","3.95e+09","14.81","1.473e+10","147.35","11.10"
"UNH","223.22","0.0059","0.8817","258.79","246.28","287.94","220.77","0.0221","5090000","4390000","0.98","53.85","0.67","12.19","1.917e+10","2.4095e+11","12.57","1.07","953300000","13.43","5.385e+10","1.181e+10","2.1419e+11","1.199e+10","1.571e+10","0.0767","0.283","1.07","4.15","0.95","0.053","0.122","0.0744","0.2288","2.2625e+11","234.94","0.0786","959540000","6490000","6340000","0.0068","1.26","1.432e+10","14.93","3.655e+10","65.01","18.31"
"UPS","114.46","1e-04","0.6988","107.99","110.81","125.09","89.89","0.0388","2350000","3200000","1.41","3.52","1.15","5.51","7.66e+09","1.1622e+11","15.16","1.62","696590000","13.92","3.414e+10","2.47e+09","9.846e+10","4.79e+09","1.271e+10","0.0759","0.6606","1.66","32.54","1.37","0.0667","0.046","0.0714","2.3595","7.186e+10","82.98","0.0786","696630000","11910000","11700000","0.0138","3.75","5.04e+09","5.85","2.278e+10","749.98","20.77"
"URI","126.74","0.0047","0.8983","122.90","122.95","181.66","94.28","-0.2836","1340000","1540000","2.39","42.60","0.83","13.12","2.39e+09","2.163e+10","9.04","2.69","79250000","5.94","3.43e+09","1.13e+09","9.99e+09","1.1e+09","2.85e+09","0.259","0","0.44","2.97","1.24","0.1362","0.2","0.0786","0.3368","8.05e+09","97.36","0.0786","78790000","3650000","3550000","0.0437","2.57","4.3e+07","0.54","1.175e+10","345.20","9.66"
"UTX","135.3","9e-04","0.8186","123.85","128.08","144.15","100.48","0.0728","2410000","4230000","1.31","45.12","1.13","6.50","1.126e+10","1.5694e+11","13.94","2.36","762780000","15.55","1.666e+10","4.78e+09","1.1667e+11","5.27e+09","6.32e+09","0.1327","0.4362","1.99","3.00","1.75","0.0792","0.151","0.0477","0.1565","6.65e+10","83.08","0.0786","862330000","7160000","8610000","0.0083","1.65","6.15e+09","7.22","4.554e+10","111.83","20.82"
"URI","126.74","0.0047","0.8983","122.90","122.95","181.66","94.28","-0.2836","1340000","1540000","2.39","42.60","0.83","13.12","2.39e+09","2.163e+10","9.04","2.69","79250000","5.94","3.43e+09","1.13e+09","9.99e+09","1.1e+09","2.85e+09","0.259","0","0.44","2.97","1.24","0.1362","0.2","0.0786","0.3368","8.05e+09","97.36","0.0786","78790000","3650000","3550000","0.0437","2.57","4.3e+07","0.54","1.175e+10","345.20","9.66"
"UTX","135.3","9e-04","0.8186","123.85","128.08","144.15","100.48","0.0728","2410000","4230000","1.31","45.12","1.13","6.50","1.126e+10","1.5694e+11","13.94","2.36","762780000","15.55","1.666e+10","4.78e+09","1.1667e+11","5.27e+09","6.32e+09","0.1327","0.4362","1.99","3.00","1.75","0.0792","0.151","0.0477","0.1565","6.65e+10","83.08","0.0786","862330000","7160000","8610000","0.0083","1.65","6.15e+09","7.22","4.554e+10","111.83","20.82"
"UHS","132.8","0.0287","1.0107","128.97","134.07","142.22","109.37","0.0985","601040","650800","1.28","59.00","1.34","8.31","1.68e+09","1.599e+10","9.51","1.49","81160000","12.24","4.35e+09","462380000","1.21e+10","778610000","1.34e+09","0.1141","0.0481","1.15","2.25","1.12","0.0724","0.042","0.0697","0.1516","1.077e+10","115.49","0.0786","83840000","2490000","2410000","0.0274","3.34","109220000","1.2","4e+09","73.10","15.98"
"UNM","37.08","0.0046","0.9711","35.03","35.62","49.33","26.77","-0.2425","2120000","1920000","1.57","40.19","13.74","2.38","896500000","9.71e+09","10.83","0.84","213790000","6.35","2.57e+09","573570000","7.96e+09","523400000","1.54e+09","0.0685","0.4118","0.82","0.92","0.69","0.0451","0.015","0.0079","0.0575","1.16e+10","52.81","0.0786","214630000","4240000","4290000","0.0197","2.47","1.06e+09","4.95","2.98e+09","34.52","15.58"
"VLO","88.41","0.0034","0.8153","85.98","84.74","126.98","68.81","-0.1559","3390000","3750000","1.26","51.88","1.65","7.29","6.66e+09","4.438e+10","6.66","0.40","416220000","7.84","7.61e+09","753880000","3.692e+10","3.11e+09","4.37e+09","0.0412","0.439","0.49","1.70","0.33","0.028","0.098","0.0572","0.147","1.1141e+11","261.52","0.0786","417610000","8700000","7230000","0.0208","2.44","2.98e+09","7.14","9.11e+09","40.07","12.12"
"VTR","62.03","0.0037","0.9109","60.71","62.96","65.70","46.55","0.2714","1370000","2040000","0.38","28.65","0.56","1.14","1.82e+09","3.298e+10","18.15","8.91","355570000","46.99","1.97e+09","1.08e+09","2.235e+10","409480000","1.38e+09","0.2536","2.7263","6.95","2.17","6.04","0.1106","0.038","0.0252","0.0386","3.7e+09","10.39","0.0786","357350000","4470000","5400000","0.0125","2.36","72280000","0.2","1.073e+10","102.62","54.41"
"VRSK","136.98","0.0581","0.9457","120.46","130.30","137.00","95.21","0.2701","612970","719350","0.85","12.63","0.49","3.56","1.05e+09","2.478e+10","23.69","10.35","161830000","27.84","1.51e+09","537390000","2.24e+10","598700000","934400000","0.3489","0","3.08","10.85","9.35","0.25","0.076","0.0876","0.2997","2.4e+09","14.53","0.0786","163510000","3540000","3890000","0.0216","4.66","142800000","0.87","2.72e+09","131.52","38.48"
"VZ","58.74","3e-04","0.6811","56.78","58.08","61.58","46.09","0.2102","10120000","14420000","0.47","12.86","0.91","3.76","5.261e+10","3.5548e+11","6.76","2.72","4.13e+09","12.26","7.566e+10","1.61e+10","2.426e+11","1.553e+10","3.434e+10","0.269","0.6343","3.00","4.57","1.85","0.1187","0.01","0.0843","0.3227","1.3086e+11","31.70","0.0786","4.13e+09","32180000","27610000","0.0078","2.36","2.74e+09","0.66","1.1394e+11","208.26","15.62"
"VRTX","182.78","0.0026","0.9696","179.76","185.50","195.81","144.07","0.1665","1360000","1400000","1.43","17.38","3.43","8.09","736390000","4.415e+10","59.96","14.49","255430000","29.34","1.22e+09","906770000","4.673e+10","2.1e+09","1.27e+09","0.2179","0","0.85","10.52","15.33","0.6881","0.335","0.0848","0.6444","3.05e+09","11.98","0.0786","255660000","3430000","3380000","0.0134","2.6","3.17e+09","12.39","591370000","13.33","22.60"
"VIAB","30.29","0.0028","0.9609","29.85","28.66","34.44","23.31","-0.0512","3500000","4770000","1.30","19.03","1.31","3.73","3.04e+09","2.075e+10","6.83","1.60","362790000","6.84","6.06e+09","6.52e+09","1.247e+10","1.47e+09","2.04e+09","0.2181","0.2192","1.41","1.59","0.96","0.116","0.006","0.0775","0.2032","1.296e+10","32.17","0.0786","353640000","20640000","17590000","0.0512","5.45","5.34e+08","1.33","8.96e+09","112.53","8.12"
"V","159.64","0.001","0.9493","142.51","153.31","159.64","119.37","0.2952","5380000","8480000","0.88","13.01","1.50","4.65","1.427e+10","3.6121e+11","25.31","17.00","1.74e+09","25.92","1.992e+10","1.1e+10","3.5074e+11","1.038e+10","1.319e+10","0.6568","0.1892","1.88","12.27","16.50","0.5061","0.132","0.1257","0.3187","2.125e+10","9.55","0.0786","1.75e+09","30940000","27980000","0.0137","3.56","1.175e+10","5.35","1.663e+10","48.78","34.34"
"VNO","68.34","0.095","0.9014","67.97","67.77","77.59","59.48","0.0074","820370","961440","1.13","18.76","4.27","2.01","1.01e+09","2.535e+10","25.16","11.66","177110000","43.81","1.19e+09","416070000","1.391e+10","384150000","802640000","0.2784","1.2537","2.92","3.64","6.40","0.2069","0.022","0.0219","0.071","2.17e+09","11.43","0.0786","190740000","2140000","2410000","0.0112","2.45","597950000","3.14","9.9e+09","168.08","33.95"
"VMC","122.15","0.0023","0.9878","105.97","115.66","133.59","82.52","0.0501","769100","1250000","0.91","39.49","1.79","3.86","1.12e+09","1.876e+10","16.70","4.28","131440000","21.39","1.1e+09","369090000","1.613e+10","517840000","832780000","0.1773","0.2894","1.39","3.09","3.68","0.1177","0.113","0.0502","0.1018","4.38e+09","33.10","0.0786","132070000","4680000","5200000","0.0355","3.94","40040000","0.3","2.91e+09","55.98","31.69"
"WAB","76.78","0.0667","0.8085","80.03","73.18","115.40","65.09","-0.0991","1030000","2190000","1.40","29.66","2.70","3.05","668980000","1.042e+10","15.58","2.39","79020000","15.61","1.25e+09","-1.46e+09","1.247e+10","294090000","314670000","0.1283","0.1574","1.29","2.59","2.86","0.0676","0.039","0.0459","0.1024","4.36e+09","45.46","0.0786","162470000","13130000","11880000","0.0809","3.51","580910000","6.01","3.86e+09","134.43","25.17"
"WMT","101.56","0.5202","0.3032","96.83","98.50","106.21","81.78","0.1608","4760000","7330000","0.66","25.19","0.80","2.26","3.28e+10","3.4932e+11","10.65","0.68","1.41e+09","20.35","1.291e+11","1.298e+10","2.9144e+11","6.67e+09","2.775e+10","0.043","0.9204","6.00","4.03","0.57","0.013","0.019","0.0652","0.0895","5.1441e+11","175.62","0.0786","2.87e+09","20130000","17100000","0.0069","2.3","7.72e+09","2.69","5.846e+10","73.41","44.94"
"WBA","53.45","0.1614","0.6644","71.81","61.42","86.31","53.32","-0.193","8820000","6830000","0.78","27.09","0.78","5.33","7.67e+09","6.674e+10","8.70","0.49","765020000","8.55","3.079e+10","4.02e+09","4.887e+10","5.13e+09","6.25e+09","0.0443","0.31","1.15","1.97","0.36","0.0377","0.046","0.0533","0.1903","1.361e+11","141.64","0.0786","914300000","25420000","24160000","0.0269","3.42","8.18e+08","0.89","1.806e+10","71.05","10.03"
"DIS","130.06","0.0019","0.5483","113.10","113.52","130.90","97.68","0.1632","20820000","12130000","0.51","33.54","1.00","7.30","1.746e+10","2.153e+11","12.33","3.62","1.49e+09","19.30","2.671e+10","7.09e+09","2.338e+11","1.096e+10","1.416e+10","0.2435","0.2353","6.95","3.88","3.94","0.1846","-0.003","0.0915","0.2194","5.939e+10","39.76","0.0786","1.8e+09","43260000","27030000","0.029","4.82","4.46e+09","2.99","2.066e+10","37.22","17.82"
"WM","101.79","0.0034","0.8145","94.18","101.48","104.80","79.96","0.2062","2130000","1780000","0.67","14.80","0.85","4.45","4.21e+09","5.598e+10","13.29","3.75","422690000","21.29","5.67e+09","1.58e+09","4.323e+10","1.92e+09","3.57e+09","0.1834","0.418","2.19","6.88","2.90","0.1291","0.052","0.0769","0.3122","1.491e+10","34.76","0.0786","424680000","4500000","3980000","0.0106","2.51","6.1e+07","0.14","1.003e+10","159.75","22.87"
"WAT","250.88","0.0485","0.9852","211.33","245.67","255.21","167.94","0.2161","435340","592840","1.28","21.44","5.93","7.65","847760000","1.734e+10","20.46","7.17","68110000","23.67","1.43e+09","341440000","1.775e+10","593790000","604450000","0.3055","0","2.23","11.70","7.34","0.2454","0.04","0.1021","0.3124","2.42e+09","31.43","0.0786","70760000","3100000","3420000","0.0433","5.29","1.74e+09","24.26","1.15e+09","73.27","32.79"
"WEC","77.82","0.0022","0.7725","72.44","77.59","80.05","58.48","0.24","1610000","1820000","0.31","31.02","0.68","3.34","2.34e+09","3.618e+10","15.46","4.71","314770000","20.81","2.51e+09","-623640000","2.455e+10","1.06e+09","2.45e+09","0.1946","0.6617","4.76","2.51","3.20","0.1379","0.011","0.0287","0.1096","7.68e+09","24.34","0.0786","315450000","11030000","10580000","0.035","5.12","84500000","0.27","1.18e+10","119.90","23.30"
