"ticker","price","% Held by Insiders 1","% Held by Institutions 1","200-Day Moving Average 3","50-Day Moving Average 3","52 Week High 3","52 Week Low 3","52-Week Change 3","Avg Vol (10 day) 3","Avg Vol (3 month) 3","Beta (3Y Monthly) ","Book Value Per Share (mrq)","Current Ratio (mrq)","Diluted EPS (ttm)","EBITDA ","Enterprise Value 3","Enterprise Value/EBITDA 6","Enterprise Value/Revenue 3","Float ","Forward P/E 1","Gross Profit (ttm)","Levered Free Cash Flow (ttm)","Market Cap (intraday) 5","Net Income Avi to Common (ttm)","Operating Cash Flow (ttm)","Operating Margin (ttm)","Payout Ratio 4","PEG Ratio (5 yr expected) 1","Price/Book (mrq)","Price/Sales (ttm)","Profit Margin ","Quarterly Revenue Growth (yoy)","Return on Assets (ttm)","Return on Equity (ttm)","Revenue (ttm)","Revenue Per Share (ttm)","S&P500 52-Week Change 3","Shares Outstanding 5","Shares Short (Mar 15, 2019) 4","Shares Short (prior month Feb 15, 2019) 4","Short % of Shares Outstanding (Mar 15, 2019) 4","Short Ratio (Mar 15, 2019) 4","Total Cash (mrq)","Total Cash Per Share (mrq)","Total Debt (mrq)","Total Debt/Equity (mrq)","Trailing P/E "
"PNR","40.06","0.0065","0.9201","41.22","42.92","49.00","35.30","-0.1537","3040000","1630000","1.12","10.72","1.27","1.96","561900000","7.58e+09","13.49","2.56","170270000","15.29","1.05e+09","651940000","6.88e+09","321700000","439100000","0.161","0.5801","2.85","3.74","2.32","0.1172","0.027","0.048","0.0936","2.97e+09","16.87","0.0786","171670000","4140000","2830000","0.0241","3.17","74300000","0.43","787600000","42.90","20.49"
"PEP","122.23","0.002","0.7368","113.96","118.91","123.19","95.94","0.1069","3340000","5130000","0.56","10.30","0.99","8.78","1.282e+10","1.9511e+11","15.22","3.02","1.4e+09","20.58","3.528e+10","6.79e+09","1.7165e+11","1.251e+10","9.42e+09","0.1643","0.4086","4.75","11.86","2.65","0.1935","0","0.0844","0.9818","6.466e+10","45.70","0.0786","1.4e+09","11070000","7860000","0.0079","1.9","8.99e+09","6.4","3.232e+10","221.35","13.92"
"PKI","99.99","0.0085","0.978","88.31","95.77","103.00","70.83","0.3314","676940","556840","1.50","23.37","1.60","2.13","559330000","1.285e+10","22.97","4.62","101080000","21.78","1.34e+09","263770000","1.108e+10","237480000","311040000","0.1363","0.1315","1.99","4.28","3.99","0.0856","0.179","0.0392","0.0933","2.78e+09","25.13","0.0786","110800000","3920000","3880000","0.0354","7.82","163110000","1.47","1.89e+09","73.17","46.86"
"PRGO","50.37","0.0048","0.8707","55.24","48.54","83.26","36.28","-0.3841","1230000","1270000","2.00","41.71","1.89","0.95","892500000","9.53e+09","10.67","2.01","122060000","10.97","1.83e+09","317350000","6.84e+09","1.31e+08","5.93e+08","0.0991","0.8","6.98","1.21","1.45","0.0277","-0.069","0.0259","0.0221","4.73e+09","34.34","0.0786","135870000","7090000","8460000","0.0521","4.78","560500000","4.12","3.24e+09","57.20","53.02"
"PFE","41.71","3e-04","0.7623","43.01","42.36","46.47","34.37","0.1571","15930000","24190000","0.59","11.09","1.57","1.87","2.206e+10","2.5521e+11","11.57","4.76","5.51e+09","13.63","4.252e+10","6.71e+09","2.3157e+11","1.114e+10","1.583e+10","0.2931","0.7312","2.51","3.76","4.32","0.2079","0.02","0.0593","0.1651","5.365e+10","9.14","0.0786","5.55e+09","103490000","155950000","0.0186","3.93","1.893e+10","3.41","4.212e+10","66.07","22.35"
"PSX","97.17","0.0022","0.7255","96.77","97.15","123.97","78.44","-0.0778","2140000","2650000","0.83","54.04","1.48","11.80","6.51e+09","5.545e+10","8.52","0.50","442180000","8.59","8.71e+09","1.61e+09","4.415e+10","5.59e+09","7.57e+09","0.0463","0.2627","-1.41","1.80","0.40","0.0502","0.104","0.0593","0.2152","1.1146e+11","236.79","0.0786","454350000","6490000","5990000","0.0143","2.16","3.02e+09","6.64","1.116e+10","41.10","8.23"
"PXD","168.32","0.0095","0.9088","147.99","143.89","213.40","119.08","-0.2104","1920000","1850000","1.16","71.45","1.42","5.69","3.31e+09","2.625e+10","7.94","2.89","166830000","17.48","4.02e+09","-950750000","2.836e+10","9.73e+08","3.24e+09","0.1927","0.0561","0.45","2.36","3.12","0.1076","0.085","0.0627","0.0834","9.09e+09","53.17","0.0786","168490000","3130000","3590000","0.0186","1.6","1.44e+09","8.55","2.28e+09","18.86","29.58"
"RL","128.15","0.0065","1.0227","119.50","125.23","147.79","95.63","0.1301","887610","987810","0.94","42.67","2.90","5.35","984400000","8.82e+09","8.96","1.39","52030000","16.93","3.76e+09","362760000","1.008e+10","440600000","707100000","0.1122","0.4439","1.51","3.00","1.59","0.0695","0.051","0.0723","0.1303","6.34e+09","77.99","0.0786","52740000","4160000","4960000","0.0529","4.63","2.06e+09","26.24","934600000","27.87","23.96"
"PPG","115.6","0.0013","0.8161","106.14","111.86","116.73","94.37","0.0246","906630","1260000","0.73","19.63","1.36","5.47","2.26e+09","3.117e+10","13.80","2.03","235550000","16.75","6.37e+09","977500000","2.729e+10","1.32e+09","1.47e+09","0.1146","0.3444","2.09","5.89","1.78","0.0872","-0.01","0.0677","0.2576","1.537e+10","63.03","0.0786","236100000","6560000","6240000","0.0278","6.28","9.67e+08","4.1","5.02e+09","106.00","21.12"
"PPL","31.86","0.0021","0.5905","30.77","32.13","32.89","25.30","0.1393","3110000","4580000","0.55","16.18","0.53","2.58","4.29e+09","4.455e+10","10.38","5.72","720630000","12.54","4.27e+09","-684630000","2.297e+10","1.82e+09","2.82e+09","0.401","0.6357","3.67","1.97","2.95","0.2347","0.007","0.046","0.163","7.78e+09","11.05","0.0786","720990000","43310000","42370000","0.0601","9.17","6.21e+08","0.86","2.212e+10","189.77","12.35"
"PFG","54.87","0.0032","0.7388","49.84","51.59","62.07","40.42","-0.1245","1210000","1790000","1.43","40.75","2.47","5.36","1.99e+09","1.494e+10","7.51","1.05","277090000","9.01","5.92e+09","3.65e+09","1.527e+10","1.55e+09","5.16e+09","0.1253","0.3918","1.63","1.35","1.07","0.1086","0.165","0.0045","0.1249","1.424e+10","49.81","0.0786","278310000","6900000","6630000","0.0248","3.32","3.72e+09","13.37","3.32e+09","28.03","10.24"
"PG","105.06","8e-04","0.6342","93.87","101.74","105.14","70.73","0.3325","5790000","8860000","0.22","21.20","0.78","4.11","1.763e+10","2.8632e+11","16.24","4.28","2.5e+09","22.12","3.338e+10","1.025e+10","2.6282e+11","1.052e+10","1.513e+10","0.2222","0.6913","3.78","4.95","3.93","0.1613","0.002","0.0742","0.1989","6.691e+10","26.69","0.0786","2.5e+09","24680000","23280000","0.0099","2.73","1.212e+10","4.84","3.363e+10","61.77","25.55"
"PGR","72.61","0.0069","0.8199","67.90","72.59","73.78","56.71","0.1779","2060000","3200000","0.70","17.71","0.50","4.42","3.59e+09","4.515e+10","12.57","1.41","580100000","13.65","3.46e+09","-999450000","4.24e+10","2.59e+09","6.28e+09","0.1042","0.2545","0.93","4.10","1.33","0.0818","0.128","0.0488","0.2517","3.195e+10","54.87","0.0786","583990000","6630000","8e+06","0.0114","1.97","1.87e+09","3.19","4.4e+09","39.91","16.43"
"PLD","74.43","0.0067","0.9751","66.99","71.61","74.44","55.21","0.1751","1730000","2430000","1.06","35.31","1.44","2.87","2.09e+09","6.104e+10","29.17","19.67","628160000","46.52","2.35e+09","1.41e+09","4.778e+10","1.64e+09","1.8e+09","0.3691","0.669","-8.05","2.11","15.40","0.5316","0.326","0.0211","0.0819","3.1e+09","5.47","0.0786","630700000","6570000","6100000","0.0104","2.63","343880000","0.55","1.109e+10","42.98","25.94"
"PRU","101.46","0.0023","0.6717","92.78","95.40","108.92","75.61","-0.0525","1850000","2200000","1.41","118.37","0.64","9.50","6.71e+09","5.052e+10","7.53","0.80","407960000","7.37","1.709e+10","-472500000","4.143e+10","4.03e+09","2.166e+10","0.1034","0.3789","0.96","0.86","0.65","0.0644","0.142","0.005","0.079","6.33e+10","151.59","0.0786","408330000","4950000","3990000","0.0121","1.85","2.528e+10","61.81","3.466e+10","70.70","10.68"
"PEG","59.89","9e-04","0.7215","55.10","59.16","60.36","49.02","0.1809","2500000","3140000","0.46","28.53","0.71","2.83","3.72e+09","4.544e+10","12.21","4.69","504060000","17.06","3.46e+09","-1.83e+09","3.024e+10","1.44e+09","2.91e+09","0.2451","0.636","3.19","2.10","3.12","0.1483","0.171","0.0338","0.1019","9.7e+09","19.24","0.0786","5.05e+08","10140000","9200000","0.0201","2.58","1.77e+08","0.35","1.548e+10","107.66","21.16"
"PSA","221.76","0.1473","0.8245","207.47","216.76","234.90","192.02","0.1144","625230","902060","0.14","29.26","1.03","8.54","1.96e+09","4.696e+10","23.94","16.65","148840000","29.03","2.12e+09","1.48e+09","3.872e+10","1.49e+09","2.06e+09","0.5241","0.9368","1.74","7.58","13.73","0.6067","-0.023","0.0853","0.1896","2.82e+09","16.21","0.0786","174370000","6030000","6740000","0.0346","5.52","361220000","2.07","1.41e+09","15.44","25.97"
"PHM","29.39","0.0766","0.9208","26.15","27.64","33.04","20.64","-0.0054","2750000","4730000","0.56","17.39","5.47","3.55","1.49e+09","1.047e+10","7.04","1.03","255780000","8.83","2.46e+09","746890000","8.16e+09","1.01e+09","1.45e+09","0.1412","0.107","20.17","1.69","0.80","0.1003","0.073","0.0905","0.2278","1.019e+10","35.93","0.0786","277480000","17940000","20820000","0.0646","4.06","1.11e+09","4.01","3.43e+09","71.24","8.28"
"PVH","129.15","0.0056","1.0019","113.79","116.65","169.22","86.46","-0.2089","1090000","1120000","1.44","77.29","1.71","9.65","1.26e+09","1.192e+10","9.49","1.23","74770000","11.29","5.31e+09","290190000","9.71e+09","746400000","852500000","0.0954","0.0039","1.03","1.67","1.01","0.0773","-0.006","0.0485","0.131","9.66e+09","126.23","0.0786","75150000","1480000","1650000","0.0196","1.57","453400000","6.03","2.84e+09","48.64","13.38"
"QRVO","77.19","0.0042","0.9411","67.54","71.41","86.50","54.74","0.0522","968590","1160000","0.95","37.21","3.90","0.46","909670000","9.4e+09","10.34","3.06","111480000","13.69","1.15e+09","694430000","9.48e+09","59110000","881980000","0.0636","0","1.25","2.07","3.08","0.0192","-0.016","0.0198","0.0126","3.07e+09","24.46","0.0786","122790000","4880000","4350000","0.0398","3.98","649710000","5.29","714400000","15.61","166.72"
"PWR","40.39","0.0075","0.9202","34.01","37.31","40.47","27.90","0.1491","1440000","1460000","1.42","25.45","1.84","1.90","837210000","6.64e+09","7.93","0.59","139340000","11.38","1.48e+09","77160000","5.71e+09","293350000","358790000","0.0529","0.0211","1.14","1.59","0.51","0.0263","0.256","0.0545","0.08","1.117e+10","73.03","0.0786","141360000","5240000","6630000","0.0371","3.11","78690000","0.56","1.11e+09","30.68","21.26"
